Outcome,GEOID,State,Name,ProjectType,ProjectDescription,ProjectAmount,PDMProgramFY,DisasterCount,POVERTY_RATE,PCT_WHITE,PCT_BLACK,PCT_NATIVE,PCT_ASIAN,PCT_TWO_OR_MORE,PCT_HISPANIC
Grant,29043,MO,"Christian County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,926000,2007,12,6.9,95.6,0.6,0.5,0.5,2.4,2.8
Grant,37189,NC,"Watauga County, North Carolina",91.1, Local Multihazard Mitigation Plan,999996,2007,5,10.9,93.9,1.6,0.3,0.8,2.1,3.4
Grant,19149,IA,"Plymouth County, Iowa",91.1, Local Multihazard Mitigation Plan,2610.67,2007,4,6.3,95.5,0.4,0.3,0.6,1.3,4.5
Grant,19195,IA,"Worth County, Iowa",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,1875,2007,5,7.6,97,1.1,0.1,0.3,1.5,2.8
Grant,27035,MN,"Crow Wing County, Minnesota",91.1, Local Multihazard Mitigation Plan,38072,2007,2,6.7,96,0.6,1.1,0.4,1.6,1.4
Grant,47125,TN,"Montgomery County, Tennessee",91.1, Local Multihazard Mitigation Plan,58633.41,2007,7,11.3,71.4,19.6,0.6,2.2,4.4,9.7
Grant,31037,NE,"Colfax County, Nebraska",91.1, Local Multihazard Mitigation Plan,30624,2007,6,6.3,87.6,2.8,1.3,0.6,2.9,44.8
Grant,29215,MO,"Texas County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,1384110,2007,13,17,92.8,2,2.2,0.2,2.4,2
Grant,30105,MT,"Valley County, Montana",91.1, Local Multihazard Mitigation Plan,34000,2007,5,4.9,86.6,0.1,9.2,0.4,3.3,2.4
Grant,22055,LA,"Lafayette Parish, Louisiana",91.1, Local Multihazard Mitigation Plan,225000,2007,11,11.9,69.8,25.8,0.2,1.8,1.8,4.6
Grant,19067,IA,"Floyd County, Iowa",91.1, Local Multihazard Mitigation Plan,5777.52,2007,8,10.8,94.5,1.9,0.4,1.7,1.2,2.5
Grant,16067,ID,"Minidoka County, Idaho",91.1, Local Multihazard Mitigation Plan,48000,2007,1,13.9,94.3,0.3,0.6,0.4,1.6,34.4
Grant,34021,NJ,"Mercer County, New Jersey",91.1, Local Multihazard Mitigation Plan,181000,2007,10,8.2,63.4,20.5,0.1,10.7,2.1,16.9
Grant,19011,IA,"Benton County, Iowa",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,252150,2007,8,6.1,97.8,0.7,0.1,0.3,0.9,1.4
Grant,06037,CA,"Los Angeles County, California",205.6, Structural Retrofitting/Rehabilitating Public Structures - Seismic,483933.52,2007,10,13.1,51.8,8.2,0.7,14.5,3.8,48.4
Grant,10003,DE,"New Castle County, Delaware",204.3," Dry Floodproofing Public Structures - Riverine; 
403.4",1841825,2007,5,7.7,64.8,24.6,0.3,5.5,2.5,9.6
Grant,32003,NV,"Clark County, Nevada",401.1, Water and Sanitary Sewer System Protective Measures,503804,2007,1,11,61.6,11.2,0.6,9.6,5,30.7
Grant,29043,MO,"Christian County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,1484453,2007,12,6.9,95.6,0.6,0.5,0.5,2.4,2.8
Grant,30069,MT,"Petroleum County, Montana",91.1, Local Multihazard Mitigation Plan,6944.45,2007,5,8.7,98.5,0,0,1.5,0,0
Grant,13051,GA,"Chatham County, Georgia",200.3, Acquisition of Public Real Property (Structures and Land) - Riverine,2267569,2007,2,13,52.9,39.7,0.3,2.5,2.7,6.3
Grant,27167,MN,"Wilkin County, Minnesota",91.1, Local Multihazard Mitigation Plan,25300,2007,8,6.5,94.2,0.5,2.9,0,2.2,0.7
Grant,19045,IA,"Clinton County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,8,8.9,93.7,2.6,0.4,0.7,2.1,3
Grant,42133,PA,"York County, Pennsylvania",91.1, Local Multihazard Mitigation Plan,228000,2007,5,7.3,88.9,5.7,0.1,1.5,2.5,6.9
Grant,19043,IA,"Clayton County, Iowa",91.1, Local Multihazard Mitigation Plan,6750,2007,12,5.6,97.8,1,0.1,0.4,0.5,1.9
Grant,25007,MA,"Dukes County, Massachusetts",700.1," Management Costs - Salaries; 
700.4",3400,2007,5,3.5,88.1,3.9,1.6,0.3,4.8,1.6
Grant,19035,IA,"Cherokee County, Iowa",91.1, Local Multihazard Mitigation Plan,5492.96,2007,10,9.1,97.2,1,0.4,0.4,0.9,3.4
Grant,35051,NM,"Sierra County, New Mexico",91.1, Local Multihazard Mitigation Plan,20000,2007,6,14.1,92.3,0.6,2.1,0.5,2.4,29.9
Grant,55025,WI,"Dane County, Wisconsin",91.1, Local Multihazard Mitigation Plan,47560,2007,6,5.9,84,5.1,0.3,5.7,3,6.3
Grant,19097,IA,"Jackson County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,9,7.7,96.9,0.6,0,0.5,1.2,1.4
Grant,29225,MO,"Webster County, Missouri",402.1, Infrastructure Protective Measures (Roads and Bridges),200999.6,2007,18,12.9,95.5,1.3,0.3,0.3,1.6,2
Grant,31179,NE,"Wayne County, Nebraska",91.1, Local Multihazard Mitigation Plan,170586.5,2007,10,6.9,95.1,2.1,0.5,0.5,1.1,5.5
Grant,13089,GA,"DeKalb County, Georgia",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,780250,2007,5,13.2,34.6,54,0.7,6.1,2.7,8.7
Grant,29035,MO,"Carter County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,1128960,2007,7,10.4,95.4,0,1.4,0,3.2,2.3
Grant,23017,ME,"Oxford County, Maine",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,2407678,2007,11,9.6,96.4,0.3,0.3,0.6,2.2,1.2
Grant,19035,IA,"Cherokee County, Iowa",91.1, Local Multihazard Mitigation Plan,2216,2007,10,9.1,97.2,1,0.4,0.4,0.9,3.4
Grant,27033,MN,"Cottonwood County, Minnesota",91.1, Local Multihazard Mitigation Plan,28000,2007,5,12.6,90.1,0.6,0.5,2.8,1.7,7.1
Grant,34041,NJ,"Warren County, New Jersey",91.1, Local Multihazard Mitigation Plan,520467,2007,9,5.9,89.4,4.4,0.1,2.9,1.5,8.6
Grant,16041,ID,"Franklin County, Idaho",91.1, Local Multihazard Mitigation Plan,48000,2007,1,11.7,96.6,0.3,0.6,0,1.1,6.7
Grant,19055,IA,"Delaware County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,8,6.3,98.1,0.3,0.1,0.4,1.1,1.4
Grant,31155,NE,"Saunders County, Nebraska",91.1, Local Multihazard Mitigation Plan,199294.26,2007,11,5.1,97.3,0.3,0.2,0.3,1.6,2.1
Grant,45075,SC,"Orangeburg County, South Carolina",91.1, Local Multihazard Mitigation Plan,19111,2007,7,17.9,34.1,61.9,0.3,1,1.8,2.1
Grant,29153,MO,"Ozark County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,63270.6,2007,12,19.1,96.3,0,0.2,0.3,2.7,1.7
Grant,18183,IN,"Whitley County, Indiana",91.1, Local Multihazard Mitigation Plan,1131750,2007,6,6.8,96.6,0.4,0.3,0.5,1.9,1.9
Grant,13089,GA,"DeKalb County, Georgia",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,1653362,2007,5,13.2,34.6,54,0.7,6.1,2.7,8.7
Grant,55077,WI,"Marquette County, Wisconsin",91.1, Local Multihazard Mitigation Plan,35470,2007,3,7.4,95.9,0.6,0.5,0.4,1.4,3.2
Grant,19055,IA,"Delaware County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,8,6.3,98.1,0.3,0.1,0.4,1.1,1.4
Grant,01117,AL,"Shelby County, Alabama",91.1, Local Multihazard Mitigation Plan,50750,2007,5,5,80.7,11.8,0.2,1.9,1.8,5.8
Grant,29091,MO,"Howell County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,1056000,2007,9,18.2,95.9,0.3,0.4,0.5,2.5,2.1
Grant,55133,WI,"Waukesha County, Wisconsin",91.1, Local Multihazard Mitigation Plan,63976.8,2007,3,3.3,92.6,1.5,0.2,3.2,1.5,4.6
Grant,19031,IA,"Cedar County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,8,2.2,97,0.7,0.3,0.3,1.3,1.9
Grant,36117,NY,"Wayne County, New York",403.2, Stormwater Management - Diversions,1264000,2007,5,8.7,93.1,3,0.2,0.7,2,4.2
Grant,19055,IA,"Delaware County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,8,6.3,98.1,0.3,0.1,0.4,1.1,1.4
Grant,78030,VI,NA,400.1," Utility Protective Measures (Electric, Gas, etc.)",2180405.81,2007,8,NA,NA,NA,NA,NA,NA,NA
Grant,55025,WI,"Dane County, Wisconsin",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,650500,2007,6,5.9,84,5.1,0.3,5.7,3,6.3
Grant,19081,IA,"Hancock County, Iowa",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,551346.4,2007,5,6.6,96.7,0.6,0.3,0.4,1.5,3.9
Grant,34031,NJ,"Passaic County, New Jersey",91.1, Local Multihazard Mitigation Plan,300000,2007,9,14,62.5,11.8,0.4,5.3,3.4,40.5
Grant,19061,IA,"Dubuque County, Iowa",91.1, Local Multihazard Mitigation Plan,5940,2007,7,7.3,93.2,2.9,0.1,1.3,1.7,2.3
Grant,29007,MO,"Audrain County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,2000000,2007,8,12.2,89.5,6.1,0.2,0.2,3.4,2.9
Grant,19097,IA,"Jackson County, Iowa",91.1, Local Multihazard Mitigation Plan,3780,2007,9,7.7,96.9,0.6,0,0.5,1.2,1.4
Grant,34023,NJ,"Middlesex County, New Jersey",91.1, Local Multihazard Mitigation Plan,213666.67,2007,7,6.2,59.5,10,0.2,24,2.4,20.4
Grant,31159,NE,"Seward County, Nebraska",91.1, Local Multihazard Mitigation Plan,70409.5,2007,9,5,96.6,0.5,0.1,0.6,1.4,2.5
Grant,35055,NM,"Taos County, New Mexico",91.1, Local Multihazard Mitigation Plan,246876,2007,4,15,82,0.5,7.3,0.3,2,56.8
Grant,19067,IA,"Floyd County, Iowa",91.1, Local Multihazard Mitigation Plan,8500,2007,8,10.8,94.5,1.9,0.4,1.7,1.2,2.5
Grant,19055,IA,"Delaware County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,8,6.3,98.1,0.3,0.1,0.4,1.1,1.4
Grant,19061,IA,"Dubuque County, Iowa",91.1, Local Multihazard Mitigation Plan,3780,2007,7,7.3,93.2,2.9,0.1,1.3,1.7,2.3
Grant,06057,CA,"Nevada County, California",300.2, Vegetation Management - Wildfire,35930,2007,5,7,92.1,0.6,0.9,1.1,3.3,9.2
Grant,16077,ID,"Power County, Idaho",91.1, Local Multihazard Mitigation Plan,48000,2007,1,8.8,80.3,0.3,4,0,0.7,32.9
Grant,19195,IA,"Worth County, Iowa",91.1, Local Multihazard Mitigation Plan,8500,2007,5,7.6,97,1.1,0.1,0.3,1.5,2.8
Grant,45051,SC,"Horry County, South Carolina",401.1, Water and Sanitary Sewer System Protective Measures,535038.5,2007,9,12.1,80.8,13.7,0.5,1.2,1.5,6
Grant,19097,IA,"Jackson County, Iowa",91.1, Local Multihazard Mitigation Plan,3780,2007,9,7.7,96.9,0.6,0,0.5,1.2,1.4
Grant,38077,ND,"Richland County, North Dakota",400.1," Utility Protective Measures (Electric, Gas, etc.)",209282,2007,11,5.1,93.1,0.5,2.7,0.4,1.9,2.7
Grant,36071,NY,"Orange County, New York",91.1, Local Multihazard Mitigation Plan,30000,2007,11,8.9,74.1,10.6,0.3,2.6,3.5,19.7
Grant,19093,IA,"Ida County, Iowa",91.1, Local Multihazard Mitigation Plan,3050.67,2007,10,8.1,97.5,0.1,0.8,0.4,0.8,2.1
Grant,19097,IA,"Jackson County, Iowa",91.1, Local Multihazard Mitigation Plan,5940,2007,9,7.7,96.9,0.6,0,0.5,1.2,1.4
Grant,44009,RI,"Washington County, Rhode Island",91.1, Local Multihazard Mitigation Plan,99975,2007,5,5.3,93.2,1.4,0.8,2,1.6,3
Grant,06037,CA,"Los Angeles County, California",91.1, Local Multihazard Mitigation Plan,66900,2007,10,13.1,51.8,8.2,0.7,14.5,3.8,48.4
Grant,19089,IA,"Howard County, Iowa",91.1, Local Multihazard Mitigation Plan,8500,2007,11,9.5,98.2,0.7,0,0.2,0.8,1.5
Grant,27081,MN,"Lincoln County, Minnesota",91.1, Local Multihazard Mitigation Plan,31000,2007,4,7,97.7,0.3,0.7,0.2,0.7,1.7
Grant,05131,AR,"Sebastian County, Arkansas",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,848117.5,2007,6,16.5,77.7,6.8,1.2,4.3,4.1,13.7
Grant,13051,GA,"Chatham County, Georgia",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,690285.75,2007,2,13,52.9,39.7,0.3,2.5,2.7,6.3
Grant,19033,IA,"Cerro Gordo County, Iowa",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,558824,2007,4,7.5,94.5,1.7,0.4,1.1,1.6,4.6
Grant,06087,CA,"Santa Cruz County, California",91.1, Local Multihazard Mitigation Plan,120000,2007,6,8.4,77.3,0.9,0.6,4.6,4.6,33.3
Grant,41053,OR,"Polk County, Oregon",205.6, Structural Retrofitting/Rehabilitating Public Structures - Seismic,1685927.61,2007,7,9.5,88.9,1,1.6,2,4,13.4
Grant,19129,IA,"Mills County, Iowa",91.1, Local Multihazard Mitigation Plan,4400.1,2007,7,5.9,96.7,0.8,0.7,0.2,1.1,2.8
Grant,29159,MO,"Pettis County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,3964800,2007,8,13.2,90.7,2.8,0.2,0.6,3,8.6
Grant,48201,TX,"Harris County, Texas",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,3986700.24,2007,12,13.9,63.3,18.9,0.4,6.8,2.3,42.2
Grant,53033,WA,"King County, Washington",205.6, Structural Retrofitting/Rehabilitating Public Structures - Seismic,828316.8,2007,10,6.4,66.2,6.2,0.7,16.6,6.1,9.5
Grant,19033,IA,"Cerro Gordo County, Iowa",91.1, Local Multihazard Mitigation Plan,8500,2007,4,7.5,94.5,1.7,0.4,1.1,1.6,4.6
Grant,16071,NA,"Oneida County, Idaho",91.1, Local Multihazard Mitigation Plan,48000,2007,NA,7.7,97.2,0.1,0.4,0,2.1,4.2
Grant,45045,SC,"Greenville County, South Carolina",91.1, Local Multihazard Mitigation Plan,27000,2007,5,10,75.3,18.2,0.3,2.2,2.1,8.8
Grant,08123,CO,"Weld County, Colorado",402.1, Infrastructure Protective Measures (Roads and Bridges),386700,2007,4,7.5,88.8,1.1,0.7,1.4,2.7,29
Grant,41005,OR,"Clackamas County, Oregon",205.6, Structural Retrofitting/Rehabilitating Public Structures - Seismic,211422,2007,5,6.1,88.6,1,0.7,4.1,3.6,8.4
Grant,19093,IA,"Ida County, Iowa",91.1, Local Multihazard Mitigation Plan,3142.67,2007,10,8.1,97.5,0.1,0.8,0.4,0.8,2.1
Grant,19163,IA,"Scott County, Iowa",91.1, Local Multihazard Mitigation Plan,5940,2007,5,8.3,85.9,7.9,0.3,2.5,2.4,6.4
Grant,13097,GA,"Douglas County, Georgia",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,860665,2007,5,11.8,48.3,45,0.1,1.7,2,9.2
Grant,06013,CA,"Contra Costa County, California",91.1, Local Multihazard Mitigation Plan,224998.9,2007,4,6.9,58.6,8.6,0.5,16,6.7,25.3
Grant,22071,LA,"Orleans Parish, Louisiana",91.1, Local Multihazard Mitigation Plan,668510.35,2007,12,19.3,34.1,59.8,0.2,3,1.8,5.5
Grant,48167,TX,"Galveston County, Texas",91.1, Local Multihazard Mitigation Plan,121720,2007,8,10.7,78.1,12.8,0.5,3.4,2.8,23.9
Grant,45019,SC,"Charleston County, South Carolina",401.1, Water and Sanitary Sewer System Protective Measures,2140808.29,2007,8,10.2,67.8,27.8,0.1,1.3,2.1,5
Grant,19195,IA,"Worth County, Iowa",91.1, Local Multihazard Mitigation Plan,6193.52,2007,5,7.6,97,1.1,0.1,0.3,1.5,2.8
Grant,19045,IA,"Clinton County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,8,8.9,93.7,2.6,0.4,0.7,2.1,3
Grant,39061,OH,"Hamilton County, Ohio",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,554000,2007,5,12.2,67.9,25.7,0.1,2.5,2.8,3
Grant,06009,CA,"Calaveras County, California",91.1, Local Multihazard Mitigation Plan,68445,2007,7,8.6,91.8,0.6,1.1,1.2,3.9,11.5
Grant,49049,UT,"Utah County, Utah",205.6, Structural Retrofitting/Rehabilitating Public Structures - Seismic,2720000,2007,1,8.4,92,0.6,0.5,1.5,2.7,11.4
Grant,40145,OK,"Wagoner County, Oklahoma",91.1, Local Multihazard Mitigation Plan,200000,2007,11,7.9,75.6,3.5,8.5,1.4,9.7,5.7
Grant,41017,OR,"Deschutes County, Oregon",300.2, Vegetation Management - Wildfire,1347935.46,2007,2,8.1,93.6,0.6,0.5,1.2,2.8,7.8
Grant,06059,CA,"Orange County, California",205.5, Structural Retrofitting/Rehabilitating Private Structures - Seismic,19513376,2007,7,8.4,62.1,1.7,0.5,19.7,3.9,34.2
Grant,06015,CA,"Del Norte County, California",91.1, Local Multihazard Mitigation Plan,124990,2007,4,16.8,76.8,1.8,7.9,2.8,7.3,19.2
Grant,06001,CA,"Alameda County, California",205.6, Structural Retrofitting/Rehabilitating Public Structures - Seismic,2277676,2007,5,7.4,42.6,11.1,0.6,28.9,6.4,22.5
Grant,19055,IA,"Delaware County, Iowa",91.1, Local Multihazard Mitigation Plan,4860,2007,8,6.3,98.1,0.3,0.1,0.4,1.1,1.4
Grant,08055,CO,"Huerfano County, Colorado",91.1, Local Multihazard Mitigation Plan,30329.32,2007,1,11.5,94.9,0.6,1.9,0.1,1.4,34.7
Grant,13089,GA,"DeKalb County, Georgia",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,3651450,2007,5,13.2,34.6,54,0.7,6.1,2.7,8.7
Grant,02282,NA,"Yakutat City and Borough, Alaska",91.1," Local Multihazard Mitigation Plan; 
92.1",533334,2007,NA,3.4,46,0.9,29,5.4,16.3,5.6
Grant,19035,IA,"Cherokee County, Iowa",91.1, Local Multihazard Mitigation Plan,3250.67,2007,10,9.1,97.2,1,0.4,0.4,0.9,3.4
Grant,35053,NM,"Socorro County, New Mexico",91.1, Local Multihazard Mitigation Plan,89473.52,2007,6,15.2,77.4,0.1,11.4,2.2,5,49.7
Grant,01117,AL,"Shelby County, Alabama",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,1284320.07,2007,5,5,80.7,11.8,0.2,1.9,1.8,5.8
Grant,06055,CA,"Napa County, California",205.6, Structural Retrofitting/Rehabilitating Public Structures - Seismic,707088,2007,10,5.3,72.6,2.1,0.9,7.9,3.8,33.7
Grant,19033,IA,"Cerro Gordo County, Iowa",91.1, Local Multihazard Mitigation Plan,5333,2007,4,7.5,94.5,1.7,0.4,1.1,1.6,4.6
Grant,48201,TX,"Harris County, Texas",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,3922269.93,2007,12,13.9,63.3,18.9,0.4,6.8,2.3,42.2
Grant,15007,HI,"Kauai County, Hawaii",91.1, Local Multihazard Mitigation Plan,275000,2007,7,6.6,32.8,0.7,0.5,34.8,21.3,10.8
Grant,55135,WI,"Waupaca County, Wisconsin",91.1, Local Multihazard Mitigation Plan,95720,2007,4,8,96.6,0.5,0.5,0.4,1.2,3
Grant,19045,IA,"Clinton County, Iowa",91.1, Local Multihazard Mitigation Plan,3780,2007,8,8.9,93.7,2.6,0.4,0.7,2.1,3
Grant,02282,NA,"Yakutat City and Borough, Alaska",700.1," Management Costs - Salaries; 
700.4",53333.1,2007,NA,3.4,46,0.9,29,5.4,16.3,5.6
Grant,06111,CA,"Ventura County, California",403.4, Stormwater Management - Detention/Retention Basins,4067581.05,2007,7,7.1,79.9,1.7,0.8,7.2,4.4,42.3
Grant,09007,CT,"Middlesex County, Connecticut",91.1, Local Multihazard Mitigation Plan,183424.8,2007,7,4.5,88.8,5.1,0.2,2.9,2,5.9
Grant,08041,CO,"El Paso County, Colorado",300.2, Vegetation Management - Wildfire,1334171.96,2007,5,7.8,79.5,6.1,0.7,2.7,5.7,16.5
Grant,44009,RI,"Washington County, Rhode Island",94.1," Tribal Multihazard Mitigation Plan; 
96.1",151549,2007,5,5.3,93.2,1.4,0.8,2,1.6,3
Grant,55083,WI,"Oconto County, Wisconsin",91.1, Local Multihazard Mitigation Plan,89250.4,2007,1,6.6,96.5,0.4,0.8,0.4,1.4,1.7
Grant,19193,IA,"Woodbury County, Iowa",91.1, Local Multihazard Mitigation Plan,6819.93,2007,5,10.1,86.3,3.2,1.8,2.8,2.9,15.8
Grant,06059,CA,"Orange County, California",205.5, Structural Retrofitting/Rehabilitating Private Structures - Seismic,13464659,2007,7,8.4,62.1,1.7,0.5,19.7,3.9,34.2
Grant,53057,WA,"Skagit County, Washington",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,758001.95,2007,8,9.1,83.2,0.8,1.7,1.7,4,18
Grant,08059,CO,"Jefferson County, Colorado",91.1, Local Multihazard Mitigation Plan,173333.33,2007,2,4.8,90.8,1.1,0.8,2.7,2.7,15.2
Grant,21211,KY,"Shelby County, Kentucky",401.1, Water and Sanitary Sewer System Protective Measures,578550,2007,8,8.4,87.2,6.9,0,0.8,2.7,9.1
Grant,30093,MT,"Silver Bow County, Montana",91.1, Local Multihazard Mitigation Plan,280533,2007,1,13.5,94.4,0.5,2.3,0.8,1.4,4.2
Grant,19035,IA,"Cherokee County, Iowa",91.1, Local Multihazard Mitigation Plan,2454.67,2007,10,9.1,97.2,1,0.4,0.4,0.9,3.4
Grant,19035,IA,"Cherokee County, Iowa",91.1, Local Multihazard Mitigation Plan,10000,2007,10,9.1,97.2,1,0.4,0.4,0.9,3.4
Grant,18159,IN,"Tipton County, Indiana",91.1, Local Multihazard Mitigation Plan,837900,2007,5,6.9,96.1,0.2,0,0,2,2.6
Grant,50001,VT,"Addison County, Vermont",204.3, Dry Floodproofing Public Structures - Riverine,135650,2007,11,4.6,94.5,1.1,0.3,1.9,1.8,2.2
Grant,21201,KY,"Robertson County, Kentucky",91.1, Local Multihazard Mitigation Plan,80000,2007,9,23.3,96.9,1.9,0,0,1.3,2.2
Grant,16011,ID,"Bingham County, Idaho",91.1, Local Multihazard Mitigation Plan,29000,2007,2,10.6,83.2,0.3,6.1,0.9,3.1,17.9
Grant,34041,NJ,"Warren County, New Jersey",91.1, Local Multihazard Mitigation Plan,400000,2007,9,5.9,89.4,4.4,0.1,2.9,1.5,8.6
Grant,16007,NA,"Bear Lake County, Idaho",91.1, Local Multihazard Mitigation Plan,48000,2007,NA,11.5,95.2,0.8,0.2,0.7,1.1,4.1
Grant,32031,NV,"Washoe County, Nevada",91.1, Local Multihazard Mitigation Plan,51479,2007,3,8.5,79.6,2.3,1.6,5.4,4.3,23.9
Grant,06071,CA,"San Bernardino County, California",401.1, Water and Sanitary Sewer System Protective Measures,71000,2007,7,14.5,61.9,8.4,0.8,6.9,4.7,52.3
Grant,19035,IA,"Cherokee County, Iowa",91.1, Local Multihazard Mitigation Plan,4365.33,2007,10,9.1,97.2,1,0.4,0.4,0.9,3.4
Grant,50027,VT,"Windsor County, Vermont",91.1, Local Multihazard Mitigation Plan,626149.6,2007,11,6.1,95.9,0.7,0.2,0.8,1.8,1.5
Grant,55109,WI,"St. Croix County, Wisconsin",91.1, Local Multihazard Mitigation Plan,34714.03,2007,3,2.6,96.2,0.9,0.4,1,1.3,2.3
Grant,49051,UT,"Wasatch County, Utah",91.1, Local Multihazard Mitigation Plan,207148.54,2007,2,7.1,95.6,0.1,0.1,1.3,1.9,13.5
Grant,16013,ID,"Blaine County, Idaho",91.1, Local Multihazard Mitigation Plan,62800,2007,2,11.5,93.6,0.3,0,1.1,1.4,21
Grant,32009,NA,"Esmeralda County, Nevada",91.1, Local Multihazard Mitigation Plan,33266,2007,NA,5.6,89.9,0.7,2.4,0,0.8,15.6
Grant,19081,IA,"Hancock County, Iowa",91.1, Local Multihazard Mitigation Plan,8500,2007,5,6.6,96.7,0.6,0.3,0.4,1.5,3.9
Grant,19013,IA,"Black Hawk County, Iowa",91.1, Local Multihazard Mitigation Plan,7000,2007,7,9.8,84.7,8.9,0.3,2.1,2.3,4.2
Grant,41071,OR,"Yamhill County, Oregon",91.1, Local Multihazard Mitigation Plan,333334,2007,6,10.5,88.2,1,1.2,1.4,4,15.7
Grant,29023,MO,"Butler County, Missouri",206.2, Safe Room (Tornado and Severe Wind Shelter) - Public Structures,1601682.36,2007,8,16.5,90.7,5.4,0.5,0.7,2.4,2
Grant,55133,WI,"Waukesha County, Wisconsin",91.1, Local Multihazard Mitigation Plan,41878,2007,3,3.3,92.6,1.5,0.2,3.2,1.5,4.6
Grant,53027,WA,"Grays Harbor County, Washington",91.1, Local Multihazard Mitigation Plan,55000,2007,12,10.1,88,1,4.7,1.6,3.8,9.8
Grant,19131,IA,"Mitchell County, Iowa",91.1, Local Multihazard Mitigation Plan,8000,2007,9,4.5,97.9,0.1,0.3,0.6,1,1.3
Grant,19055,IA,"Delaware County, Iowa",91.1, Local Multihazard Mitigation Plan,3780,2007,8,6.3,98.1,0.3,0.1,0.4,1.1,1.4
Grant,19081,IA,"Hancock County, Iowa",91.1, Local Multihazard Mitigation Plan,8500,2007,5,6.6,96.7,0.6,0.3,0.4,1.5,3.9
Grant,25023,MA,"Plymouth County, Massachusetts",91.1, Local Multihazard Mitigation Plan,216000,2007,9,5.8,83.9,9.2,0.1,1.2,2.3,3.7
Grant,25007,MA,"Dukes County, Massachusetts",93.1," Tribal (Local) Multihazard Mitigation Plan; 
94.1",34500,2007,5,3.5,88.1,3.9,1.6,0.3,4.8,1.6
Grant,45083,SC,"Spartanburg County, South Carolina",91.1, Local Multihazard Mitigation Plan,0,2007,6,11.7,73.3,20.5,0.2,2.3,2,6.5
Grant,27171,MN,"Wright County, Minnesota",91.1, Local Multihazard Mitigation Plan,33000,2007,4,3.2,94.7,1.4,0.4,1.2,1.4,2.8
Grant,16017,ID,"Bonner County, Idaho",91.1," Local Multihazard Mitigation Plan; 
96.1",63159.92,2007,4,8.6,95.3,0.2,0.7,0.7,2.4,2.9
Grant,12005,FL,"Bay County, Florida",91.1, Local Multihazard Mitigation Plan,80477.18,2007,14,10.7,81.9,11,0.8,2.3,3.3,6
Grant,06071,CA,"San Bernardino County, California",401.1, Water and Sanitary Sewer System Protective Measures,66337,2007,7,14.5,61.9,8.4,0.8,6.9,4.7,52.3
Grant,12086,FL,"Miami-Dade County, Florida",205.7, Retrofitting Private Structures - Wind,483305.41,2007,10,15.6,75.6,18,0.1,1.6,1.5,67.5
Grant,15001,HI,"Hawaii County, Hawaii",91.1, Local Multihazard Mitigation Plan,340000,2007,8,12.7,33.9,0.6,0.4,22.2,28.6,12.5
Grant,40125,OK,"Pottawatomie County, Oklahoma",103.1," Feasibility, Engineering and Design Studies; 
206.2",723520,2007,16,12.1,76.1,3.2,14.7,0.7,4.5,4.9
Grant,36055,NY,"Monroe County, New York",400.1," Utility Protective Measures (Electric, Gas, etc.)",401041.9,2007,5,10.7,75.9,15.3,0.4,3.7,2.9,8.3
Grant,17201,IL,"Winnebago County, Illinois",91.1, Local Multihazard Mitigation Plan,80000,2007,5,11.5,78.9,12.6,0.3,2.5,3,12.2
